2, 1
3, 1
4, 2
5, 2
6, 1
6, 2
6, 1
7, 2
8, 2
9, 3
9, 2
10, 3
11, 2
13, 2
14, 2
15, 2
16, 3
17, 1
17, 3
18, 1
19, 2
19, 2
20, 3
21, 2
22, 3
23, 2
23, 2
24, 1
24, 3
25, 1
26, 3
27, 1
28, 3
28, 3
26, 1
26, 3
26, 3
26, 2
26, 1
26, 1
27, 1
27, 2
27, 2
28, 2
29, 2
30, 2
31, 3
30, 2
30, 1
30, 1
30, 3
29, 4
28, 1
28, 2
26, 2
25, 0
26, 2
26, 3
27, 4
28, 2
29, 2
29, 2
29, 3
29, 1
29, 3
29, 1
29, 3
28, 2
29, 1
30, 2
30, 4
31, 3
31, 4
32, 3
31, 3
32, 2
33, 3
33, 1
33, 3
34, 4
33, 3
33, 2
34, 2
35, 2
36, 2
37, 3
34, 1
34, 1
34, 1
33, 4
34, 1
34, 1
30, 1
29, 1
30, 2
27, 1
28, 1
29, 1
29, 1086
29, 2
30, 4
29, 1
29, 1
30, 4
32, 1
32, 1
33, 2
32, 2
34, 2
34, 2
34, 2
34, 2
35, 0
35, 2
36, 3
36, 2
36, 1
33, 1
32, 1
33, 1
33, 1
32, 1
31, 1
30, 1
29, 1
29, 3
30, 1
30, 1
30, 2
27, 1
27, 1
28, 0
28, 2
29, 1
29, 1
30, 1
32, 1
33, 1
32, 2
34, 1
34, 1
34, 1
34, 2
35, 1
36, 1
36, 2
33, 1
33, 1
34, 1
35, 2
35, 0
32, 1
32, 1
31, 1
31, 1
25, 0
25, 1
25, 0
26, 1
25, 1
25, 1
26, 2
25, 0
25, 2
27, 1
27, 1
28, 3
24, 1
24, 2
25, 1
25, 0
26, 2
25, 2
24, 1
25, 2
26, 1
27, 0
28, 2
30, 1
30, 0
30, 2
31, 1
32, 1
32, 2
34, 1
35, 1
35, 2
33, 1
33, 2
33, 3
34, 1
35, 1
36, 3
36, 1
34, 1
34, 2
29, 1
29, 0
30, 1
29, 2
29, 1
27, 1
27, 1
29, 1
29, 2
30, 2
31, 1
30, 1
29, 1
30, 2
30, 2
31, 1
31, 0
32, 2
32, 1
32, 2
32, 1
32, 1
33, 0
33, 2
34, 2
35, 2
35, 3
36, 1
37, 1
37, 2
38, 0
38, 3
37, 2
38, 2
35, 2
36, 1
36, 1
35, 0
35, 1
34, 1
34, 2
34, 2
35, 1
36, 3
37, 1
38, 1
39, 1
37, 2
37, 2
36, 2
36, 1
36, 0
35, 2
36, 1
37, 1
37, 1
37, 1
