2, 1
3,lookup 1
3, 2
4, 2
5, 1
6,lookup 1
6, 1
6,lookup 1
6,lookup 1
6, 2
6, 1
7, 3
8, 0
8, 1
8, 2
9, 1
9, 2
10, 2
10, 2
10,lookup 2
11, 3
12, 2
13, 2
14, 3
15, 2
16, 3
17, 2
17, 3
18, 3
18, 3
19, 3
20,lookup 2
20, 3
20, 3
21, 2
22, 3
22, 3
22,lookup 3
22, 3
22,lookup 3
22, 1
22, 3
21,lookup 2
21, 4
21, 2
22, 4
23,lookup 2
23, 1
23, 4
22, 1
23,lookup 3
23, 3
24, 2
24, 3
23, 1
23,lookup 2
24,lookup 2
24,lookup 1
24,lookup 1
25, 1
25, 4
24,lookup 1
25, 1
26, 2
27, 3
26, 0
26,lookup 1
27, 1
27,lookup 3
22, 1
22, 0
22, 2
22, 0
22, 2
23, 1
24, 1
24,lookup 2
25, 1
26, 1
26, 0
2, 1
2,remo 1
3,add 0
3, 1
4, 3
5, 1
6, 2
7, 2
8, 1
9, 1
10, 2
11, 3
12, 2
13, 1
13, 3
12, 3
13, 2
14, 3
14,add 2
15, 3
15, 3
16,remo 3
17, 2
18, 2
19, 2
20, 2
20, 3
20, 2
21, 4
21, 4
22, 3
23, 2
24, 2
25, 1
26, 2
25, 3
26, 3
29, 1
28,add 0
28,remo 0
28,add 2
28, 2
29, 1
30,add 2
30, 2
29,add 0
29, 1
29,remo 2
30, 1
30, 1
30, 4
31,remo 1
34, 2
34, 1
35, 1
36, 2
36, 3
37, 1
34,remo 0
33,add 0
33, 1
33, 1
33, 1
33,add 1
33, 2
34, 1
35, 2
35, 2
35, 2
36, 1
36, 1
37, 1
37, 1
37, 1
37, 1
36, 2
36, 3
38, 2
36, 2
36,add 0
37, 2
37,add 2
35, 2
36, 1
36, 2
35, 1
35, 1
35, 2
35, 2
32,add 0
32, 2
32, 2
32, 2
32, 2
34, 1
30, 1
30, 2
31, 1
31, 1
30, 2
30, 1
30, 1
31,remo 1
31, 1
27, 1
28, 1
29, 1
29, 2
30, 2
27, 1
27, 1
28, 1
27, 2
28, 1
28,add 1
28, 1
29, 1
29, 1
30, 1
30, 1
29,remo 1
30, 1
30,add 1
32, 3
33, 1
34, 1
33, 2
33, 1
33, 1
33, 1054
33, 1
33,add 0
31, 1
30, 1
30, 1
31, 2
30, 2
31, 1
31, 2
31, 1
31, 1
32, 1
31, 1
31, 1
31, 1
29, 1
29, 2
30, 1
32, 1
31, 1
31, 1
27, 1
27, 1
27, 1
27, 1
27, 2
27, 1
27, 1
28, 1
29, 1
30, 1
30, 1
30, 1
31, 2
31, 1
31,add 1
31, 1
31, 2
31, 2
31, 2
32, 2
33, 1
33, 1
33, 1
34, 2
35, 2
36, 2
36,add 0
36,add 0
38, 2
39, 2
39, 1
37, 2
38, 2
38, 1
39,remo 1
39, 1
40,add 1
40, 1
40, 1
34, 1
32, 1
32, 2
32, 1
33, 2
33, 1
34, 2
35, 2
36, 3
37, 2
38, 3
37, 1
37, 1
37,add 2
33, 1
32, 3
33, 1
32, 2
31,add 0
31,add 1
31, 2
31, 2
31, 2
32, 1
32,remo 0
33, 2
28, 1
28, 1
29, 1
29,add 1
27,remo 0
26, 1
26, 1
